size,method,step,layer,expert,activation_count,activation_share
L,baseline,352000,0,0,16937,0.12921905517578125
L,baseline,352000,0,1,19965,0.15232086181640625
L,baseline,352000,0,2,14576,0.1112060546875
L,baseline,352000,0,3,18755,0.14308929443359375
L,baseline,352000,0,4,15820,0.120697021484375
L,baseline,352000,0,5,15594,0.1189727783203125
L,baseline,352000,0,6,13941,0.10636138916015625
L,baseline,352000,0,7,15484,0.118133544921875
L,baseline,352000,1,0,20153,0.15375518798828125
L,baseline,352000,1,1,13868,0.105804443359375
L,baseline,352000,1,2,15707,0.11983489990234375
L,baseline,352000,1,3,18428,0.140594482421875
L,baseline,352000,1,4,17050,0.1300811767578125
L,baseline,352000,1,5,12487,0.09526824951171875
L,baseline,352000,1,6,16609,0.12671661376953125
L,baseline,352000,1,7,16770,0.1279449462890625
L,baseline,352000,2,0,13814,0.1053924560546875
L,baseline,352000,2,1,14951,0.11406707763671875
L,baseline,352000,2,2,18697,0.14264678955078125
L,baseline,352000,2,3,17211,0.13130950927734375
L,baseline,352000,2,4,15376,0.1173095703125
L,baseline,352000,2,5,19532,0.149017333984375
L,baseline,352000,2,6,16508,0.125946044921875
L,baseline,352000,2,7,14983,0.11431121826171875
L,baseline,352000,3,0,14834,0.1131744384765625
L,baseline,352000,3,1,14136,0.10784912109375
L,baseline,352000,3,2,15716,0.119903564453125
L,baseline,352000,3,3,16881,0.12879180908203125
L,baseline,352000,3,4,18192,0.1387939453125
L,baseline,352000,3,5,17041,0.13001251220703125
L,baseline,352000,3,6,15796,0.120513916015625
L,baseline,352000,3,7,18476,0.140960693359375
L,baseline,352000,4,0,13857,0.10572052001953125
L,baseline,352000,4,1,17764,0.135528564453125
L,baseline,352000,4,2,15658,0.1194610595703125
L,baseline,352000,4,3,17087,0.13036346435546875
L,baseline,352000,4,4,14551,0.11101531982421875
L,baseline,352000,4,5,17325,0.13217926025390625
L,baseline,352000,4,6,16606,0.1266937255859375
L,baseline,352000,4,7,18224,0.1390380859375
L,baseline,352000,5,0,14858,0.1133575439453125
L,baseline,352000,5,1,14311,0.10918426513671875
L,baseline,352000,5,2,17631,0.13451385498046875
L,baseline,352000,5,3,18768,0.1431884765625
L,baseline,352000,5,4,18417,0.14051055908203125
L,baseline,352000,5,5,17810,0.1358795166015625
L,baseline,352000,5,6,14279,0.10894012451171875
L,baseline,352000,5,7,14998,0.1144256591796875
L,baseline,352000,6,0,13453,0.10263824462890625
L,baseline,352000,6,1,16331,0.12459564208984375
L,baseline,352000,6,2,18964,0.144683837890625
L,baseline,352000,6,3,10666,0.0813751220703125
L,baseline,352000,6,4,15359,0.11717987060546875
L,baseline,352000,6,5,15137,0.11548614501953125
L,baseline,352000,6,6,23348,0.178131103515625
L,baseline,352000,6,7,17814,0.1359100341796875
L,baseline,352000,7,0,20835,0.15895843505859375
L,baseline,352000,7,1,13473,0.10279083251953125
L,baseline,352000,7,2,12835,0.09792327880859375
L,baseline,352000,7,3,17688,0.13494873046875
L,baseline,352000,7,4,16496,0.1258544921875
L,baseline,352000,7,5,16913,0.12903594970703125
L,baseline,352000,7,6,18746,0.1430206298828125
L,baseline,352000,7,7,14086,0.1074676513671875
L,baseline,352000,8,0,15516,0.118377685546875
L,baseline,352000,8,1,17226,0.1314239501953125
L,baseline,352000,8,2,14592,0.111328125
L,baseline,352000,8,3,15253,0.11637115478515625
L,baseline,352000,8,4,22242,0.1696929931640625
L,baseline,352000,8,5,14154,0.1079864501953125
L,baseline,352000,8,6,16060,0.122528076171875
L,baseline,352000,8,7,16029,0.12229156494140625
L,baseline,352000,9,0,13835,0.10555267333984375
L,baseline,352000,9,1,16733,0.12766265869140625
L,baseline,352000,9,2,15837,0.12082672119140625
L,baseline,352000,9,3,12405,0.09464263916015625
L,baseline,352000,9,4,17069,0.13022613525390625
L,baseline,352000,9,5,13484,0.102874755859375
L,baseline,352000,9,6,28535,0.21770477294921875
L,baseline,352000,9,7,13174,0.1005096435546875
L,baseline,352000,10,0,15072,0.114990234375
L,baseline,352000,10,1,16211,0.12368011474609375
L,baseline,352000,10,2,13514,0.1031036376953125
L,baseline,352000,10,3,16223,0.12377166748046875
L,baseline,352000,10,4,15819,0.12068939208984375
L,baseline,352000,10,5,19749,0.15067291259765625
L,baseline,352000,10,6,21342,0.1628265380859375
L,baseline,352000,10,7,13142,0.1002655029296875
L,baseline,352000,11,0,13869,0.10581207275390625
L,baseline,352000,11,1,15855,0.12096405029296875
L,baseline,352000,11,2,14122,0.1077423095703125
L,baseline,352000,11,3,15102,0.1152191162109375
L,baseline,352000,11,4,20648,0.15753173828125
L,baseline,352000,11,5,12357,0.09427642822265625
L,baseline,352000,11,6,23029,0.17569732666015625
L,baseline,352000,11,7,16090,0.1227569580078125
L,baseline,352000,12,0,17947,0.13692474365234375
L,baseline,352000,12,1,16872,0.12872314453125
L,baseline,352000,12,2,17234,0.1314849853515625
L,baseline,352000,12,3,17966,0.1370697021484375
L,baseline,352000,12,4,13454,0.1026458740234375
L,baseline,352000,12,5,15269,0.11649322509765625
L,baseline,352000,12,6,15255,0.11638641357421875
L,baseline,352000,12,7,17075,0.13027191162109375
L,baseline,352000,13,0,17324,0.132171630859375
